schema_version,ts,timeframe,source,open,high,low,close,volume,received_at,close_confirmed_at,is_closed,quality_flags
1,2023-12-18T21:00:00Z,1h,coinbase-exchange:BTC-USD,41961.42,42754.79,41950.25,42615.9,1561.88522128,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T22:00:00Z,1h,coinbase-exchange:BTC-USD,42615.9,42707.6,42423.32,42500.67,525.96859228,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-18T23:00:00Z,1h,coinbase-exchange:BTC-USD,42500.67,42720.91,42500.67,42650.01,586.43055872,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T00:00:00Z,1h,coinbase-exchange:BTC-USD,42650.01,42901,42552.95,42700.06,504.17709422,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T01:00:00Z,1h,coinbase-exchange:BTC-USD,42701.06,43354.02,42590.85,43292.41,931.83357618,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T02:00:00Z,1h,coinbase-exchange:BTC-USD,43292.4,43461.86,43015.6,43066.29,870.485697,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T03:00:00Z,1h,coinbase-exchange:BTC-USD,43067.38,43135.64,42984.94,43065.56,409.24418879,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T04:00:00Z,1h,coinbase-exchange:BTC-USD,43065.61,43123.19,42830.14,42911.28,372.70602413,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T05:00:00Z,1h,coinbase-exchange:BTC-USD,42911.29,42993.82,42848.62,42947.95,241.12383076,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T06:00:00Z,1h,coinbase-exchange:BTC-USD,42947.96,42966.54,42802.64,42901.9,206.93889459,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T07:00:00Z,1h,coinbase-exchange:BTC-USD,42901.83,43097.58,42881.41,43021.6,195.88297388,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T08:00:00Z,1h,coinbase-exchange:BTC-USD,43024.2,43176.76,42980,43078.53,243.57618462,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T09:00:00Z,1h,coinbase-exchange:BTC-USD,43079.56,43176.31,42946.31,43020.82,212.1724091,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T10:00:00Z,1h,coinbase-exchange:BTC-USD,43020.81,43256.49,42936.05,43109.98,302.89727723,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T11:00:00Z,1h,coinbase-exchange:BTC-USD,43113.57,43189.8,42942.75,42955.67,186.30343821,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T12:00:00Z,1h,coinbase-exchange:BTC-USD,42955.67,43004.07,42840.46,42934.18,297.85477699,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T13:00:00Z,1h,coinbase-exchange:BTC-USD,42931.94,43030.41,42841.42,42846.84,362.60717518,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T14:00:00Z,1h,coinbase-exchange:BTC-USD,42846.83,42893.89,42214.88,42344.23,938.59204424,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T15:00:00Z,1h,coinbase-exchange:BTC-USD,42345.3,42723.77,42232.7,42464.3,973.68027922,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T16:00:00Z,1h,coinbase-exchange:BTC-USD,42461.46,42627.19,42280.01,42316.13,914.52773698,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
